"","nmc","3003","3008","3015","3016","3017","3018","3019","3035","3037","3049","3054","3088","4097","4142","4147","4150","4153","4160","4173","4178","4179","4185","4196","CAPTACAO","controle","junco","pousio1","pousio2","pousio3","pousio4","SALAO","uri"
"1","Acalypha_poiretii",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2","Alternanthera_brasiliana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
"3","Alternanthera_tenella",0,0,0,0,0,0,0,0,27,0,0,5,0,0,0,0,0,0,2,0,0,97,0,0,0,0,0,3,0,0,0,0
"4","Amaranthus_viridis",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Ammannia_latifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"6","Ammannia_sp",0,0,202,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,18,2,0,0,4,0,0,0,0,2,0,0,0
"7","Aristida_adscensionis",0,0,0,0,1,0,0,0,0,0,0,9,24,0,0,0,0,0,19,0,0,0,4,6,0,5,0,0,5,0,73,140
"8","Asteraceae_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9","Bernardia_sidoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"10","Bidens_pilosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"11","Boerhavia_diffusa",0,4,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,3,1,1,0,0,112,0,0,0,0,2,0
"12","Bouteloua_aristidoides",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,34,15,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"13","Callisia_filiformis",0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Centratherum_punctatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"15","Chamaecrista_amiciella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"16","Cnidoscolus_urens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Corchorus_argutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"18","Cyperus_capillifolius",18,13,52,20,95,42,0,0,0,10,3,7,36,5,3,3,0,4,0,0,0,0,0,3,0,9,16,0,11,4,0,0
"19","Cyperus_squarrosus",1,4,10,20,5,59,8,38,11,4,3,34,36,20,9,3,0,0,9,1,57,3,51,122,0,80,17,0,30,1,58,15
"20","Cyperus_subsquarrosus",0,0,234,12,20,20,11,6,6,1,0,23,6,0,4,3,0,8,0,0,3,0,0,229,0,36,9,1,1,3,6,10
"21","Dactyloctenium_aegyptium",79,0,196,0,0,2,0,2,0,0,5,0,7,62,105,64,5,0,19,150,146,48,4,0,1,3,5,0,1,40,0,0
"22","Digitaria_nuda",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0
"23","Eclipta_prostrata",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
"24","Eleocharis_geniculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"25","Eleocharis_minima",0,0,29,0,0,0,0,0,0,0,1,9,6,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"26","Eragrostis_articulata",170,31,5,88,111,409,4,11,2,6,1,6,20,18,26,17,11,7,11,205,17,5,41,0,0,2,0,0,0,0,14,13
"27","Eragrostis_cilianensis",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"28","Eragrostis_ciliaris",0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Eragrostis_pilosa",0,0,0,79,4,91,0,0,0,0,0,1,2,2,0,0,22,0,0,0,2,0,216,0,0,10,0,0,5,35,0,0
