area;nmc;n_ind
3003;Eragrostis_articulata;170
3003;Hexasepalum_teres;113
3003;Tragus_berteronianus;102
3003;Dactyloctenium_aegyptium;79
3003;Nicotiana_glauca;44
3003;Mollugo_verticillata;27
3003;Cyperus_capillifolius;18
3003;Portulaca_elatior;2
3003;Cyperus_squarrosus;1
3003;Marsypianthes_chamaedrys;1
3003;Sida_galheirensis;1
3003;Waltheria_rotundifolia;1
3008;Nicotiana_glauca;78
3008;Eragrostis_articulata;31
3008;Portulaca_halimoides;19
3008;Cyperus_capillifolius;13
3008;Waltheria_rotundifolia;12
3008;Tragus_berteronianus;6
3008;Boerhavia_diffusa;4
3008;Cyperus_squarrosus;4
3008;Waltheria_rotundifolia;4
3008;Mollugo_verticillata;1
3015;Cyperus_subsquarrosus;234
3015;Ammannia_sp;202
3015;Dactyloctenium_aegyptium;196
3015;Tragus_berteronianus;146
3015;Paspalum_erianthum;63
3015;Portulaca_halimoides;54
3015;Cyperus_capillifolius;52
3015;Eleocharis_minima;29
3015;Herissantia_crispa;28
3015;Portulaca_elatior;25
3015;Cyperus_squarrosus;10
3015;Eragrostis_articulata;5
3015;Nicotiana_glauca;5
3015;Sida_galheirensis;2
3015;Waltheria_rotundifolia;2
3015;Eclipta_prostrata;1
3015;Mollugo_verticillata;1
3016;Nicotiana_glauca;202
3016;Eragrostis_articulata;88
3016;Eragrostis_pilosa;79
3016;Euploca_procumbens;73
3016;Mollugo_verticillata;52
3016;Tragus_berteronianus;45
3016;Cyperus_capillifolius;20
3016;Cyperus_squarrosus;20
3016;Portulaca_halimoides;14
3016;Cyperus_subsquarrosus;12
3016;Sida_galheirensis;8
3016;Stemodia_durantifolia;3
3016;Acalypha_poiretii;1
3016;Eragrostis_tenella;1
3016;Microtea_celosioides;1
3016;Phyllanthus_heteradenius;1
3016;Senna_uniflora;1
3017;Eragrostis_articulata;111
3017;Cyperus_capillifolius;95
3017;Scleria_sp;80
3017;Callisia_filiformis;33
3017;Euphorbia_hyssopifolia;22
3017;Cyperus_subsquarrosus;20
3017;Mollugo_verticillata;11
3017;Portulaca_umbraticola;11
3017;Marsypianthes_chamaedrys;10
